a[m],e[prop],i[rad],Omega[rad],omega[rad],theta[rad]
7.137990016304011457e+06,2.785487202636912143e-03,1.507681394667398367e+00,2.901336679259510110e+00,2.099561344046334543e+00,4.994687087296882377e-01
7.233797490593218245e+06,2.404876352153545796e-02,1.511017274903612595e+00,1.212388190573433944e+00,2.543063907655835454e+00,1.160230321741247961e+00
6.992450203031144105e+06,5.113462705558526576e-03,1.509068835493203142e+00,1.543133860597624363e+00,1.250079177774439110e+00,3.279853167193228725e+00
7.114001092478418723e+06,3.882851725595364272e-03,1.508204668571141438e+00,2.454900497081727639e+00,1.900754272528353495e+00,3.372321343803853733e+00
7.134753273241822608e+06,3.207448068884805308e-03,1.507763185104979975e+00,2.884131675740094103e+00,2.497678939332957260e+00,3.389566648812406768e+00
7.039128910204057582e+06,3.124186437885233866e-03,1.508672800769283784e+00,1.369972520636316693e+00,2.210968385513226941e+00,6.156003057685723867e+00
7.127796729251003824e+06,2.315331966548020339e-03,1.507649903568600180e+00,3.190206429629210749e+00,1.494422384586514552e+00,1.352385421180871017e+00
7.045717556563306600e+06,1.202026848146056344e-03,1.508879041948010480e+00,2.566779077911455875e+00,2.036117054961623207e+00,3.588355101062632002e+00
7.065595003743924201e+06,4.402413575973364150e-04,1.508681567396203516e+00,2.558845714095478119e+00,3.983792216321676793e+00,3.243851053024485065e+00
7.116279192098725587e+06,3.950298372779816221e-03,1.507364595632255666e+00,3.065845994710581834e+00,2.195922700802052763e+00,7.060753108230942710e-01
7.069462795722784474e+06,1.607404767411805754e-03,1.508595042542711040e+00,2.764655321283265632e+00,1.566404484494927640e+00,1.135022107417966053e+00
7.094787756605543196e+06,3.423324367854060305e-03,1.507829483476977206e+00,3.073653685746728481e+00,1.351780776592082844e+00,5.606357975922679593e+00
7.137162371371707879e+06,1.370213571136554530e-02,1.504631633471040786e+00,5.187937029619568818e+00,6.691655054621733489e-01,4.356973964998910986e+00
7.129197871094655246e+06,3.583139127001545073e-03,1.507052232653857349e+00,2.611903129699235659e+00,1.336028944004199748e-01,4.764386127717788355e+00
7.116331001708266325e+06,3.976579165355004046e-03,1.508547314965499986e+00,2.316404968475924253e+00,1.423242331926170889e+00,4.032478660837783835e+00
7.169553982998762280e+06,9.314772705865361629e-03,1.506331933543219925e+00,3.106156758282368369e+00,1.621066945600627918e+00,3.010335996178622242e+00
6.971490786490476690e+06,4.375037553664928164e-03,1.507666935437839362e+00,1.843107055645081482e+00,2.327709474204952667e+00,3.297527493245641317e+00
7.102632776163116097e+06,1.511304658600851579e-03,1.508731536875347112e+00,2.179427053336803422e+00,1.148958084656761747e+00,5.222505273093096534e+00
7.098046182993684895e+06,1.859523433678811691e-03,1.508542409514784133e+00,2.491588816581279175e+00,7.193992271661062698e-01,5.000839856064305256e-01
7.106048264134571888e+06,7.286063413133619937e-03,1.498850128939426707e+00,5.626211752315757764e+00,2.053294158641235434e+00,1.892455931837230709e+00
7.093232427785005420e+06,1.553861247319576408e-03,1.507915890012636817e+00,3.058027469437281542e+00,1.770699144702141625e+00,3.488217285863017825e+00
7.215038637568030506e+06,1.874158194642610784e-02,1.508365715934315565e+00,4.001894516435354765e-01,2.715149905898397886e+00,5.655500567781688304e+00
7.016073267293666489e+06,2.116717171866118290e-03,1.508890404643261851e+00,2.471416972266957224e+00,1.297271651192163366e+00,1.397815816087325080e+00
7.115724704368781298e+06,1.682964773323806151e-03,1.507607364036888553e+00,3.206052233504742777e+00,1.189934073538968656e-01,1.871778744398894689e+00
7.135713558025000617e+06,3.241593078083025801e-03,1.507354818714426337e+00,2.382088649327746221e+00,4.130807720767377234e+00,1.352718661041171444e+00
7.085645462714733556e+06,9.534413504743242257e-04,1.509125195451451296e+00,2.018304038031689895e+00,4.696520043288964885e+00,4.901342101670997486e+00
7.137028278039338067e+06,1.296775832637921122e-02,1.504156765432439924e+00,4.142323702266733854e+00,1.917969690960186435e+00,3.013984122191430970e+00
7.037314567775565200e+06,5.128378414449091642e-03,1.506752142752187718e+00,3.270675365894940345e+00,3.864120418682175373e+00,3.677288695927880546e+00
